,ForecastCurrent
1047,196.791672
1048,270.125
1049,269.083344
1050,325.083344
1051,290.833344
1052,230.625
1053,181.5
1054,134.5
1055,105.208336
1056,33.083332
1057,10.5
1058,6.041667
1059,12.208333
1060,9.5
1061,7.375
1062,7.708333
1063,0.708333
1064,3.083333
1065,0.0
1066,0.0
1067,0.0
1068,0.0
1069,0.0
1070,0.0
1071,0.208333
1072,4.041667
1073,7.333333
1074,48.791668
1075,77.583336
1076,151.833328
1077,207.541672
1078,315.75
1079,124.875
1080,265.208344
1081,331.583344
1082,358.041656
1083,346.625
1084,364.208344
1085,357.458344
1086,244.75
1087,236.791672
1088,237.041672
1089,221.041672
1090,307.458344
1091,264.0
1092,278.625
1093,355.416656
1094,354.0
1095,355.166656
1096,324.916656
1097,325.458344
1098,254.25
1099,360.0
1100,354.958344
1101,351.333344
1102,352.916656
1103,348.0
1104,348.875
1105,355.125
1106,357.541656
1107,346.208344
1108,356.916656
1109,354.333344
1110,348.833344
1111,356.083344
1112,349.875
1113,342.875
1114,355.125
1115,358.625
1116,350.958344
1117,352.708344
1118,353.875
1119,356.75
1120,361.041656
1121,353.041656
1122,288.75
1123,318.916656
1124,150.833328
1125,321.333344
1126,356.583344
1127,346.75
1128,352.5
1129,356.583344
1130,362.125
1131,343.708344
1132,358.333344
1133,255.625
1134,351.0
1135,352.708344
1136,352.958344
1137,349.25
1138,358.041656
1139,360.25
1140,355.166656
1141,351.75
1142,347.458344
1143,341.083344
1144,315.25
1145,356.208344
1146,356.25
1147,328.25
1148,298.25
1149,352.583344
1150,336.208344
1151,230.875
1152,228.125
1153,234.125
1154,331.666656
1155,333.333344
1156,257.708344
1157,341.666656
1158,323.25
1159,357.291656
1160,359.041656
1161,350.125
1162,358.916656
1163,364.833344
1164,357.5
1165,360.458344
1166,348.333344
1167,283.375
1168,351.333344
1169,352.375
1170,244.666672
1171,318.333344
1172,245.458328
1173,256.125
1174,178.083328
1175,245.875
1176,260.166656
1177,264.208344
1178,263.833344
1179,266.666656
1180,252.416672
1181,264.875
