,offshore_DK2,offshore_DK1,onshore_DK2,onshore_DK1,solar_DK2,realized
1947,0.4648648648648649,0.4283246977547496,0.1896551724137931,0.4045045045045045,0.0,0.372972972972973
1948,0.3054054054054054,0.4265975820379965,0.17374005305039789,0.36786786786786785,0.0,0.20540540540540542
1949,0.1918918918918919,0.3920552677029361,0.16445623342175067,0.3279279279279279,0.0,0.24864864864864866
1950,0.28378378378378377,0.42573402417962003,0.1883289124668435,0.3021021021021021,3.0,0.34324324324324323
1951,0.3108108108108108,0.4153713298791019,0.20689655172413793,0.2765765765765766,36.0,0.3783783783783784
1952,0.34594594594594597,0.43436960276338515,0.21485411140583555,0.2861861861861862,70.0,0.34324324324324323
1953,0.3567567567567568,0.4421416234887737,0.21618037135278514,0.33573573573573573,100.0,0.26756756756756755
1954,0.3918918918918919,0.41450777202072536,0.23209549071618038,0.3963963963963964,149.0,0.3108108108108108
1955,0.43513513513513513,0.41450777202072536,0.246684350132626,0.46186186186186184,185.0,0.43513513513513513
1956,0.4648648648648649,0.44559585492227977,0.2493368700265252,0.5195195195195195,215.0,0.5297297297297298
1957,0.4837837837837838,0.4913644214162349,0.2625994694960212,0.5690690690690691,220.0,0.4648648648648649
1958,0.4810810810810811,0.5215889464594128,0.2984084880636605,0.6048048048048048,185.0,0.3945945945945946
1959,0.4756756756756757,0.5250431778929189,0.3395225464190981,0.615015015015015,131.0,0.3864864864864865
1960,0.4756756756756757,0.5250431778929189,0.33156498673740054,0.5759759759759759,72.0,0.27837837837837837
1961,0.47297297297297297,0.5328151986183074,0.2984084880636605,0.5105105105105106,24.0,0.5243243243243243
1962,0.45135135135135135,0.5207253886010362,0.27984084880636606,0.43783783783783786,2.0,0.7027027027027027
1963,0.41621621621621624,0.5060449050086355,0.29310344827586204,0.4126126126126126,0.0,0.6675675675675675
1964,0.3837837837837838,0.4896373056994819,0.2984084880636605,0.412012012012012,0.0,0.5405405405405406
1965,0.34324324324324323,0.4740932642487047,0.2838196286472148,0.3918918918918919,0.0,0.42702702702702705
1966,0.3,0.459412780656304,0.2625994694960212,0.36186186186186187,0.0,0.32972972972972975
1967,0.26216216216216215,0.44473229706390327,0.23474801061007958,0.3282282282282282,0.0,0.25675675675675674
1968,0.1810810810810811,0.3765112262521589,0.17904509283819628,0.3267267267267267,0.0,0.21621621621621623
1969,0.1837837837837838,0.36528497409326427,0.17904509283819628,0.2864864864864865,0.0,0.24594594594594596
1970,0.21081081081081082,0.38255613126079446,0.17639257294429708,0.23093093093093092,0.0,0.24054054054054055
1971,0.16486486486486487,0.3376511226252159,0.15782493368700265,0.1948948948948949,0.0,0.1810810810810811
1972,0.13513513513513514,0.3143350604490501,0.13793103448275862,0.17477477477477477,0.0,0.12162162162162163
1973,0.0918918918918919,0.30397236614853196,0.1206896551724138,0.1864864864864865,0.0,0.0972972972972973
1974,0.06756756756756757,0.3592400690846287,0.10610079575596817,0.193993993993994,4.0,0.05405405405405406
1975,0.04864864864864865,0.3549222797927461,0.09283819628647215,0.193993993993994,28.0,0.04594594594594595
1976,0.04864864864864865,0.33419689119170987,0.08488063660477453,0.22822822822822822,59.0,0.051351351351351354
1977,0.04864864864864865,0.37392055267702934,0.08355437665782493,0.2816816816816817,87.0,0.04864864864864865
1978,0.05405405405405406,0.36614853195164077,0.09151193633952255,0.35525525525525525,120.0,0.05945945945945946
1979,0.06486486486486487,0.39291882556131263,0.11273209549071618,0.439039039039039,154.0,0.04594594594594595
