Forward price,Forward bid,Power sold,Power bought,hydrogen scheduled,lambda_DW,lambda_UP,E_real,E_forecast
49.86,2.742007358894261,0.0,3.129216651193332,2.880577992564323,53.25,49.86,2.493368700265252,E_forecast[160]
53.26,4.053480758714514,0.0,1.2211152238922987,2.552249849793169,53.26,53.26,5.384615384615384,E_forecast[161]
53.0,5.833120663990491,0.3015053144294386,0.0,2.3269124831185337,53.0,53.0,8.461538461538462,E_forecast[162]
51.32,6.791920575544672,0.747567924028138,0.0,2.2748351078542473,51.32,51.32,9.814323607427056,E_forecast[163]
50.89,6.966391372926811,0.6033361264158009,0.0,2.271121307023438,50.89,50.89,9.840848806366049,E_forecast[164]
50.6,7.056944872393924,0.5116381273640478,0.0,2.272265806608079,50.6,50.6,9.840848806366049,E_forecast[165]
50.03,7.078297692485883,0.46708959932765554,0.0,2.295461514552512,50.03,50.03,9.840848806366049,E_forecast[166]
21.15,0.0,5.975820063851053,0.0,3.7589279467590266,21.15,21.15,9.73474801061008,E_forecast[167]
14.38,0.0,5.399820612456759,0.0,4.149251005580377,14.38,14.38,9.549071618037136,E_forecast[168]
17.94,0.0,5.873126824584556,0.0,3.9411967828425,17.94,17.94,9.814323607427056,E_forecast[169]
0.0,0.0,4.75679849537765,0.0,5.0044747141714225,20.91,0.0,9.761273209549072,E_forecast[170]
7.78,0.0,5.091301166792306,0.0,4.537346048061806,7.78,7.78,9.628647214854112,E_forecast[171]
14.33,0.0,5.645040687945457,0.0,4.1427577205426065,14.33,14.33,9.787798408488063,E_forecast[172]
18.56,0.0,5.7939383087517395,0.0,3.8877593039803564,18.56,18.56,9.681697612732096,E_forecast[173]
50.83,6.995168091222105,0.4430361349977856,0.0,2.2700185854512016,50.83,18.57,9.708222811671089,E_forecast[174]
35.81,7.076969123455416,0.0,0.2740825977349628,2.984911882767611,35.81,35.81,9.787798408488063,E_forecast[175]
43.87,7.092084971617172,0.03329093784635972,0.0,2.58284690220756,43.87,43.87,9.708222811671089,E_forecast[176]
46.93,7.104722504607854,0.035171116934692215,0.0,2.435703195433584,46.93,46.93,9.575596816976127,E_forecast[177]
53.57,7.148997035466671,0.22070520500973068,0.0,2.126318979682749,53.57,43.88,9.49602122015915,E_forecast[178]
53.96,7.1499561738410105,0.36980793377851384,0.0,2.1088831072345884,53.96,43.85,9.628647214854112,E_forecast[179]
53.96,7.162668191866217,0.4118387716413796,0.0,2.107190649224501,53.96,46.74,9.681697612732096,E_forecast[180]
43.94,7.143836404947666,0.044847037474471385,0.0,2.5725897671269355,43.94,43.94,9.761273209549072,E_forecast[181]
43.21,7.1244045202179995,0.07953796720346684,0.0,2.6103811200055898,43.21,43.21,9.814323607427056,E_forecast[182]
43.81,7.123905745062713,0.0,0.02370596513160894,2.5814978328009923,43.81,43.81,9.681697612732096,E_forecast[183]
3.35,0.0,5.020189337195244,0.0,4.794134270231812,45.6,3.35,9.814323607427056,E_forecast[184]
6.7,0.0,5.20097594786872,0.0,4.586822460619343,35.21,6.7,9.787798408488063,E_forecast[185]
52.94,7.19256661580234,0.3935826045642683,0.0,2.148598790243468,52.94,45.64,9.73474801061008,E_forecast[186]
52.94,7.195895545559911,0.3376464853809127,0.0,2.1481555817912734,52.94,45.63,9.681697612732096,E_forecast[187]
37.94,7.216612845847686,0.0,0.26050508080354984,2.85821584238292,37.94,37.94,9.814323607427056,E_forecast[188]
51.81,7.20614513562661,0.4371707000122713,0.0,2.1975329707271696,51.81,39.53,9.840848806366049,E_forecast[189]
51.8,7.226003562308067,0.3929797988908863,0.0,2.1953402462281026,51.8,35.97,9.814323607427056,E_forecast[190]
51.8,7.205502722306181,0.09244880215382967,0.0,2.198069695699139,51.8,29.72,9.49602122015915,E_forecast[191]
50.39,7.184916575215888,0.0,0.16590370375744,2.264806757188768,50.39,22.55,9.283819628647215,E_forecast[192]
20.04,0.0,5.43848858810653,0.0,3.8453310405406853,20.04,20.04,9.283819628647215,E_forecast[193]
7.24,0.0,4.691672139773026,0.0,4.59214748887419,7.24,7.24,9.283819628647215,E_forecast[194]
3.43,0.0,4.456463930268349,0.0,4.827355698378867,3.43,3.43,9.283819628647215,E_forecast[195]
10.04,0.0,4.868920582342708,0.0,4.414899046304507,10.04,10.04,9.283819628647215,E_forecast[196]
14.2,0.0,5.012134498818003,0.0,4.165584334073243,14.2,14.2,9.177718832891246,E_forecast[197]
25.41,0.0,5.5850079962435135,0.0,3.5661856377087418,25.41,25.41,9.151193633952255,E_forecast[198]
36.98,6.817573193267881,0.0,0.5731835753661088,2.9598544139284666,36.98,36.98,9.204244031830239,E_forecast[199]
43.89,6.817017030414037,0.0,0.2843302125723959,2.6185068161106138,43.89,43.89,9.151193633952255,E_forecast[200]
50.98,6.813946475992029,0.15602067469770464,0.0,2.287327279018487,50.98,50.98,9.257294429708223,E_forecast[201]
47.07,6.811604502183517,0.0,0.1285687684244099,2.4681579001931477,50.3,47.07,9.151193633952255,E_forecast[202]
47.07,6.792624406581106,0.0,0.0060148570286804315,2.470684880155796,50.21,47.07,9.257294429708223,E_forecast[203]
45.8,6.774161802778107,0.0,0.10293588438054435,2.533018113432676,45.8,45.8,9.204244031830239,E_forecast[204]
43.64,6.719066128470298,0.0,0.3175594520402081,2.6435861617661955,43.64,43.64,9.045092838196286,E_forecast[205]
43.49,6.641382252085021,0.0,0.6553305787282113,2.661163180754596,43.49,43.49,8.647214854111406,E_forecast[206]
93.76,6.832216573363789,1.2875002443954582,0.0,0.6866492299861102,93.76,45.05,8.806366047745357,E_forecast[207]
47.58,6.363295839413368,0.0717242757160772,0.0,2.503971927310874,49.95,47.58,8.938992042440319,E_forecast[208]
